cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
1.7782794100389228e-8,17,2,precision,macro,0.8312920951534417,10,0.010765267200621079,Preprocessor1_Model012
1.7782794100389228e-8,17,2,recall,macro,0.8302531175540779,10,0.011490473194355302,Preprocessor1_Model012
1.7782794100389228e-8,17,2,roc_auc,hand_till,0.8967684061725095,10,0.0070275387929981115,Preprocessor1_Model012
3.162277660168379e-6,17,2,accuracy,multiclass,0.8303917553917554,10,0.011187865849007075,Preprocessor1_Model013
3.162277660168379e-6,17,2,gain_capture,macro,0.7939035646010514,10,0.013782657290530308,Preprocessor1_Model013
3.162277660168379e-6,17,2,precision,macro,0.8312920951534417,10,0.010765267200621079,Preprocessor1_Model013
3.162277660168379e-6,17,2,recall,macro,0.8302531175540779,10,0.011490473194355302,Preprocessor1_Model013
3.162277660168379e-6,17,2,roc_auc,hand_till,0.8967684061725095,10,0.0070275387929981115,Preprocessor1_Model013
5.623413251903491e-4,17,2,accuracy,multiclass,0.8317385567385568,10,0.012584160775006533,Preprocessor1_Model014
5.623413251903491e-4,17,2,gain_capture,macro,0.8422699648756127,10,0.011026753716250991,Preprocessor1_Model014
5.623413251903491e-4,17,2,precision,macro,0.832798489669784,10,0.011384091939125492,Preprocessor1_Model014
5.623413251903491e-4,17,2,recall,macro,0.8326901556620256,10,0.012486288052968463,Preprocessor1_Model014
5.623413251903491e-4,17,2,roc_auc,hand_till,0.9215396341118447,10,0.005466182235482427,Preprocessor1_Model014
0.1,17,2,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model015
0.1,17,2,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model015
0.1,17,2,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model015
0.1,17,2,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model015
0.1,17,2,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model015
1e-10,23,2,accuracy,multiclass,0.8293782418782418,10,0.01097459057130725,Preprocessor1_Model016
1e-10,23,2,gain_capture,macro,0.7863260989993509,10,0.013662707074921072,Preprocessor1_Model016
1e-10,23,2,precision,macro,0.8298124217717152,10,0.010601311581371002,Preprocessor1_Model016
1e-10,23,2,recall,macro,0.8288485320155888,10,0.011287086199417207,Preprocessor1_Model016
1e-10,23,2,roc_auc,hand_till,0.8929996903864839,10,0.006936042449576652,Preprocessor1_Model016
1.7782794100389228e-8,23,2,accuracy,multiclass,0.8293782418782418,10,0.01097459057130725,Preprocessor1_Model017
1.7782794100389228e-8,23,2,gain_capture,macro,0.7863260989993509,10,0.013662707074921072,Preprocessor1_Model017
1.7782794100389228e-8,23,2,precision,macro,0.8298124217717152,10,0.010601311581371002,Preprocessor1_Model017
1.7782794100389228e-8,23,2,recall,macro,0.8288485320155888,10,0.011287086199417207,Preprocessor1_Model017
1.7782794100389228e-8,23,2,roc_auc,hand_till,0.8929996903864839,10,0.006936042449576652,Preprocessor1_Model017
3.162277660168379e-6,23,2,accuracy,multiclass,0.8293782418782418,10,0.01097459057130725,Preprocessor1_Model018
3.162277660168379e-6,23,2,gain_capture,macro,0.7863260989993509,10,0.013662707074921072,Preprocessor1_Model018
3.162277660168379e-6,23,2,precision,macro,0.8298124217717152,10,0.010601311581371002,Preprocessor1_Model018
3.162277660168379e-6,23,2,recall,macro,0.8288485320155888,10,0.011287086199417207,Preprocessor1_Model018
3.162277660168379e-6,23,2,roc_auc,hand_till,0.8929996903864839,10,0.006936042449576652,Preprocessor1_Model018
5.623413251903491e-4,23,2,accuracy,multiclass,0.8310628810628811,10,0.012403375342656838,Preprocessor1_Model019
5.623413251903491e-4,23,2,gain_capture,macro,0.8399950295190364,10,0.010958403154377511,Preprocessor1_Model019
5.623413251903491e-4,23,2,precision,macro,0.8320255530478171,10,0.011164228278365574,Preprocessor1_Model019
